wave,flux,err
2.489908e+03,1.139176e-02,3.848300e-03
2.490367e+03,2.139230e-01,4.192996e-03
2.490826e+03,3.555516e-01,4.336786e-03
2.491285e+03,9.971348e-02,4.061510e-03
2.491744e+03,2.450627e-01,4.151463e-03
2.492202e+03,4.013374e-01,4.431091e-03
2.492661e+03,5.248054e-01,4.464010e-03
2.493120e+03,8.366292e-02,3.936698e-03
2.493579e+03,2.032728e-01,4.101010e-03
2.494037e+03,7.882886e-02,3.969150e-03
2.494496e+03,4.307800e-01,4.363284e-03
2.494954e+03,1.230131e-01,3.975212e-03
2.495413e+03,3.836113e-01,4.240634e-03
2.495871e+03,4.201526e-01,4.283482e-03
2.496329e+03,3.665817e-01,4.191226e-03
2.496788e+03,2.068067e-01,4.079049e-03
2.497246e+03,1.018898e-01,3.883740e-03
2.497704e+03,8.073913e-01,4.643323e-03
2.498162e+03,1.559574e-01,3.945394e-03
2.498620e+03,3.448416e-01,4.168411e-03
2.499078e+03,6.944863e-02,3.853789e-03
2.499536e+03,1.498022e-01,3.890755e-03
2.499994e+03,1.612747e-01,3.878834e-03
2.500452e+03,1.104428e-01,3.837151e-03
2.500910e+03,9.867312e-02,3.804500e-03
2.501368e+03,9.325914e-01,4.577877e-03
2.501825e+03,5.605141e-01,4.252447e-03
2.502283e+03,8.599328e-02,3.621365e-03
2.502741e+03,2.378996e-01,3.849181e-03
2.503198e+03,2.141978e-01,3.790470e-03
2.503656e+03,6.326803e-02,3.615633e-03
2.504113e+03,9.371912e-02,3.661079e-03
2.504571e+03,4.899753e-01,4.074072e-03
2.505028e+03,2.535023e-01,3.801132e-03
2.505485e+03,1.186963e-01,3.591668e-03
2.505942e+03,1.483010e-01,3.655432e-03
2.506400e+03,8.713132e-02,3.529893e-03
2.506857e+03,2.012862e-01,3.666485e-03
2.507314e+03,4.729204e-01,3.976574e-03
2.507771e+03,1.318375e-01,3.639977e-03
2.508228e+03,3.589273e-01,3.847175e-03
2.508685e+03,1.003279e-01,3.586127e-03
2.509141e+03,9.760943e-01,4.490743e-03
2.509598e+03,1.793785e-01,3.654724e-03
2.510055e+03,9.520918e-01,4.616026e-03
2.510512e+03,1.029605e+00,4.629795e-03
2.510968e+03,7.299517e-01,4.360313e-03
2.511425e+03,6.679959e-01,4.286197e-03
2.511881e+03,1.205537e-01,3.749495e-03
2.512338e+03,5.367168e-01,4.154649e-03
2.512794e+03,3.370265e-01,3.908989e-03
2.513251e+03,1.369176e-01,3.842167e-03
2.513707e+03,6.044699e-01,4.282482e-03
2.514163e+03,2.760414e-01,3.837099e-03
2.514619e+03,3.984199e-01,3.978032e-03
2.515076e+03,1.543350e-01,3.784857e-03
2.515532e+03,1.149298e-01,3.834549e-03
2.515988e+03,5.756337e-01,4.239026e-03
2.516444e+03,9.486041e-02,3.668009e-03
2.516900e+03,2.137011e-01,3.871659e-03
2.517356e+03,7.458516e-02,3.684257e-03
2.517811e+03,2.084608e-01,3.887831e-03
2.518267e+03,5.249552e-01,4.143189e-03
2.518723e+03,2.192314e-01,3.815996e-03
2.519179e+03,1.832609e-01,3.791657e-03
2.519634e+03,1.390004e-01,3.746007e-03
2.520090e+03,1.176308e+00,4.720604e-03
2.520545e+03,9.824027e-02,3.689518e-03
2.521001e+03,7.348974e-02,3.685251e-03
2.521456e+03,4.503033e-01,4.032092e-03
2.521911e+03,1.384669e-01,3.718516e-03
2.522367e+03,2.242677e-01,3.790721e-03
2.522822e+03,8.323324e-02,3.640127e-03
2.523277e+03,8.787937e-02,3.652353e-03
2.523732e+03,6.813374e-02,3.706440e-03
2.524187e+03,8.474192e-02,3.671687e-03
2.524642e+03,3.394653e-01,3.964425e-03
2.525097e+03,7.191438e-02,3.590444e-03
2.525552e+03,4.876423e-02,3.645677e-03
2.526007e+03,1.849053e-01,3.860043e-03
2.526462e+03,7.559119e-02,3.638484e-03
2.526917e+03,3.759802e-01,3.941103e-03
2.527371e+03,8.294253e-01,4.323512e-03
2.527826e+03,1.823027e-01,3.756999e-03
2.528281e+03,4.515310e-01,4.013586e-03
2.528735e+03,8.801800e-02,3.650468e-03
2.529190e+03,4.319596e-01,4.022769e-03
2.529644e+03,3.932249e-01,3.994251e-03
2.530098e+03,5.055523e-01,4.121627e-03
2.530553e+03,2.570491e-01,3.801185e-03
2.531007e+03,4.307486e-01,3.999905e-03
2.531461e+03,1.199228e-01,3.698019e-03
2.531915e+03,8.261821e-02,3.652317e-03
2.532370e+03,7.675477e-01,4.351327e-03
2.532824e+03,6.627254e-01,4.208724e-03
2.533278e+03,2.793556e-01,3.907029e-03
2.533732e+03,5.316935e-02,3.595518e-03
2.534185e+03,5.839488e-02,3.461569e-03
2.534639e+03,4.918140e-02,3.476182e-03
2.535093e+03,3.886370e-01,3.843572e-03
2.535547e+03,1.152343e-01,3.574852e-03
2.536000e+03,1.140944e-01,3.523512e-03
2.536454e+03,1.619065e-01,3.567650e-03
2.536908e+03,2.798911e-01,3.697901e-03
2.537361e+03,9.108157e-02,3.516758e-03
2.537815e+03,7.399294e-02,3.511469e-03
2.538268e+03,2.824286e-01,3.698774e-03
2.538721e+03,7.449911e-02,3.599527e-03
2.539175e+03,5.302879e-02,3.633163e-03
2.539628e+03,5.612648e-02,3.650595e-03
2.540081e+03,3.966833e-02,3.700707e-03
2.540534e+03,8.059169e-02,3.675653e-03
2.540987e+03,1.528505e-01,3.771702e-03
2.541440e+03,6.534782e-02,3.682391e-03
2.541893e+03,9.898414e-02,3.751831e-03
2.542346e+03,1.804891e-01,3.801563e-03
2.542799e+03,1.307381e-01,3.728217e-03
2.543252e+03,1.240501e-01,3.741741e-03
2.543705e+03,1.087467e-01,3.700994e-03
2.544158e+03,5.713791e-01,4.163438e-03
2.544610e+03,1.535262e-01,3.773437e-03
2.545063e+03,9.909031e-01,4.606149e-03
2.545515e+03,8.796994e-02,3.739870e-03
2.545968e+03,3.117915e-01,3.977316e-03
2.546420e+03,6.494150e-01,4.289705e-03
2.546873e+03,8.709282e-01,4.483649e-03
2.547325e+03,9.494855e-02,3.697049e-03
2.547777e+03,1.248828e+00,4.784213e-03
2.548230e+03,4.556052e-01,4.062979e-03
2.548682e+03,1.019745e-01,3.755042e-03
2.549134e+03,2.006962e-01,3.877771e-03
2.549586e+03,9.549526e-02,3.782865e-03
2.550038e+03,5.235207e-01,4.186768e-03
2.550490e+03,4.845432e-01,4.101339e-03
2.550942e+03,2.054817e-01,3.841145e-03
2.551394e+03,1.387085e-01,3.924645e-03
2.551845e+03,1.723226e-01,4.002969e-03
2.552297e+03,4.031144e-01,4.172350e-03
2.552749e+03,3.778384e-01,4.154788e-03
2.553201e+03,9.048172e-02,3.951364e-03
2.553652e+03,6.398645e-01,4.255166e-03
2.554104e+03,2.606951e-01,4.012918e-03
2.554555e+03,1.464116e-01,3.771416e-03
2.555007e+03,2.355460e-01,3.887722e-03
2.555458e+03,2.227162e-01,3.876860e-03
2.555909e+03,4.093594e-01,4.074677e-03
2.556361e+03,1.746780e-01,3.850697e-03
2.556812e+03,5.195464e-01,4.154895e-03
2.557263e+03,1.013364e-01,3.807104e-03
2.557714e+03,7.642520e-01,4.406626e-03
2.558165e+03,9.228078e-01,4.504295e-03
2.558616e+03,1.131912e+00,4.732419e-03
2.559067e+03,1.020949e-01,3.771322e-03
2.559518e+03,9.148967e-02,3.781329e-03
2.559969e+03,9.481882e-02,3.763516e-03
2.560420e+03,4.190067e-01,4.115749e-03
2.560870e+03,6.752768e-01,4.335215e-03
2.561321e+03,4.160352e-01,4.164585e-03
2.561772e+03,1.759100e-01,3.854098e-03
2.562222e+03,1.071509e-01,3.760529e-03
2.562673e+03,9.879915e-02,3.750245e-03
2.563123e+03,2.994361e-01,3.936703e-03
2.563574e+03,1.370249e-01,3.748735e-03
2.564024e+03,1.261287e-01,3.759004e-03
2.564474e+03,2.543701e-01,3.936259e-03
2.564924e+03,1.883938e-01,3.789003e-03
2.565375e+03,3.135335e-01,3.976648e-03
2.565825e+03,1.534904e-01,3.810102e-03
2.566275e+03,1.631154e-01,3.682886e-03
2.566725e+03,3.457661e-01,3.902550e-03
2.567175e+03,1.913925e-01,3.688441e-03
2.567625e+03,1.583930e-01,3.865425e-03
2.568075e+03,5.059289e-01,4.218681e-03
2.568524e+03,3.064610e-01,4.030395e-03
2.568974e+03,2.222035e-01,3.890066e-03
2.569424e+03,1.757861e+00,5.258985e-03
2.569874e+03,1.531829e-01,3.823876e-03
2.570323e+03,8.608015e-01,4.556395e-03
2.570773e+03,1.137824e-01,3.845195e-03
2.571222e+03,1.296269e-01,3.870187e-03
2.571672e+03,1.466722e-01,3.804790e-03
2.572121e+03,1.943004e-01,3.943190e-03
2.572570e+03,1.214390e-01,3.839983e-03
2.573020e+03,1.495582e-01,3.909256e-03
2.573469e+03,5.945209e-01,4.424294e-03
2.573918e+03,5.287365e-01,4.277873e-03
2.574367e+03,1.584604e-01,3.885278e-03
2.574816e+03,6.621847e-01,4.458101e-03
2.575265e+03,2.094418e-01,3.922539e-03
2.575714e+03,2.354538e-01,3.946044e-03
2.576163e+03,5.622552e-01,4.299576e-03
2.576612e+03,2.250971e-01,3.991574e-03
2.577061e+03,1.968471e-01,3.969620e-03
2.577510e+03,3.240758e-01,4.027447e-03
2.577958e+03,2.301369e-01,3.963306e-03
2.578407e+03,5.024505e-01,4.220206e-03
2.578855e+03,2.614744e-01,4.051819e-03
2.579304e+03,6.257991e-01,4.393513e-03
2.579752e+03,1.788922e-01,3.924800e-03
2.580201e+03,2.027632e-01,4.006567e-03
2.580649e+03,4.014531e-01,4.110235e-03
2.581098e+03,2.402382e-01,4.080330e-03
2.581546e+03,8.746979e-01,4.639355e-03
2.581994e+03,7.555252e-01,4.516085e-03
2.582442e+03,4.950496e-01,4.357962e-03
2.582890e+03,6.665261e-01,4.416836e-03
2.583338e+03,1.690628e-01,3.930290e-03
2.583786e+03,1.590419e-01,4.015512e-03
2.584234e+03,6.517665e-01,4.462512e-03
2.584682e+03,1.739439e-01,4.022090e-03
2.585130e+03,1.397907e+00,5.121287e-03
2.585578e+03,4.638646e-01,4.253087e-03
2.586025e+03,4.737301e-01,4.307683e-03
2.586473e+03,2.149468e-01,4.045119e-03
2.586921e+03,6.481463e-01,4.516755e-03
2.587368e+03,9.581006e-01,4.730782e-03
2.587816e+03,1.833949e-01,3.965231e-03
2.588263e+03,4.576143e-01,4.234881e-03
2.588711e+03,1.787300e-01,3.965864e-03
