wave,flux,err
2.489908e+03,5.218497e-03,3.170096e-03
2.490367e+03,1.547018e-01,3.483219e-03
2.490826e+03,7.064077e-02,3.545753e-03
2.491285e+03,6.670390e-02,3.536399e-03
2.491744e+03,2.432352e-01,3.682910e-03
2.492202e+03,3.939525e-01,3.981914e-03
2.492661e+03,2.155350e-01,3.692134e-03
2.493120e+03,5.736631e-02,3.435454e-03
2.493579e+03,1.981485e-01,3.632366e-03
2.494037e+03,8.105872e-01,4.282704e-03
2.494496e+03,5.227417e-01,4.033364e-03
2.494954e+03,1.097636e-01,3.485312e-03
2.495413e+03,4.863342e-01,3.909094e-03
2.495871e+03,4.333081e-01,3.851313e-03
2.496329e+03,2.071783e-01,3.571995e-03
2.496788e+03,1.514010e-01,3.550195e-03
2.497246e+03,8.804295e-02,3.413147e-03
2.497704e+03,8.150920e-01,4.262904e-03
2.498162e+03,6.629207e-02,3.404280e-03
2.498620e+03,3.524409e-01,3.736477e-03
2.499078e+03,5.050364e-02,3.364137e-03
2.499536e+03,1.367180e-01,3.420172e-03
2.499994e+03,8.398913e-02,3.336592e-03
2.500452e+03,6.378248e-02,3.317964e-03
2.500910e+03,5.594955e-02,3.336863e-03
2.501368e+03,9.248180e-01,4.194151e-03
2.501825e+03,7.901185e-02,3.310520e-03
2.502283e+03,7.097973e-02,3.301829e-03
2.502741e+03,7.341839e-02,3.358557e-03
2.503198e+03,2.092003e-01,3.487832e-03
2.503656e+03,5.094060e-02,3.290335e-03
2.504113e+03,1.155538e-01,3.365371e-03
2.504571e+03,5.303444e-01,3.825672e-03
2.505028e+03,2.533950e-01,3.490781e-03
2.505485e+03,9.613397e-02,3.303681e-03
2.505942e+03,1.179461e-01,3.359975e-03
2.506400e+03,1.449378e-01,3.322916e-03
2.506857e+03,8.579954e-02,3.236031e-03
2.507314e+03,4.745313e-01,3.714939e-03
2.507771e+03,1.790837e-01,3.398692e-03
2.508228e+03,3.499009e-01,3.559242e-03
2.508685e+03,8.905838e-02,3.267265e-03
