wave,flux,err
2.489908e+03,7.311128e-03,3.681604e-03
2.490367e+03,1.721803e-01,3.990751e-03
2.490826e+03,1.757069e-01,3.995661e-03
2.491285e+03,9.657402e-02,3.899880e-03
2.491744e+03,2.442133e-01,3.997177e-03
2.492202e+03,3.935807e-01,4.273842e-03
2.492661e+03,3.430575e-01,4.143911e-03
2.493120e+03,7.594958e-02,3.614304e-03
2.493579e+03,1.957893e-01,3.781387e-03
2.494037e+03,7.357024e-02,3.638765e-03
2.494496e+03,4.308052e-01,4.073158e-03
2.494954e+03,1.104669e-01,3.650414e-03
2.495413e+03,3.788038e-01,3.939007e-03
2.495871e+03,4.163582e-01,4.001766e-03
2.496329e+03,2.172336e-01,3.729511e-03
2.496788e+03,1.635120e-01,3.710115e-03
2.497246e+03,9.572737e-02,3.577886e-03
2.497704e+03,8.160545e-01,4.391709e-03
2.498162e+03,1.395629e-01,3.640585e-03
2.498620e+03,3.490402e-01,3.879329e-03
2.499078e+03,5.960263e-02,3.528774e-03
2.499536e+03,1.511093e-01,3.580636e-03
2.499994e+03,9.882221e-02,3.501339e-03
2.500452e+03,6.826975e-02,3.488133e-03
2.500910e+03,8.297181e-02,3.488642e-03
2.501368e+03,9.375315e-01,4.314742e-03
2.501825e+03,1.019095e-01,3.489603e-03
2.502283e+03,8.628269e-02,3.470800e-03
2.502741e+03,2.324474e-01,3.690529e-03
2.503198e+03,2.158076e-01,3.642306e-03
2.503656e+03,6.307616e-02,3.451921e-03
2.504113e+03,8.241872e-02,3.502567e-03
2.504571e+03,5.282531e-01,3.982662e-03
2.505028e+03,2.581316e-01,3.662113e-03
2.505485e+03,1.099287e-01,3.469197e-03
2.505942e+03,1.369179e-01,3.523401e-03
2.506400e+03,8.602674e-02,3.407098e-03
2.506857e+03,1.052509e-01,3.418847e-03
2.507314e+03,4.735126e-01,3.851918e-03
2.507771e+03,1.787406e-01,3.549194e-03
2.508228e+03,3.490975e-01,3.720093e-03
2.508685e+03,8.810254e-02,3.424358e-03
2.509141e+03,5.325019e-01,3.958179e-03
2.509598e+03,1.696414e-01,3.499776e-03
2.510055e+03,7.827458e-01,4.211551e-03
2.510512e+03,1.063868e+00,4.398200e-03
2.510968e+03,7.397066e-01,4.108758e-03
2.511425e+03,6.127684e-01,3.973054e-03
2.511881e+03,1.027425e-01,3.436150e-03
2.512338e+03,6.447135e-01,3.987287e-03
