wave,flux,err
2.489908e+03,3.437145e-03,2.526350e-03
2.490367e+03,1.647148e-01,2.827915e-03
2.490826e+03,1.799433e-01,2.817683e-03
2.491285e+03,8.511433e-02,2.769222e-03
2.491744e+03,3.942572e-01,3.004032e-03
2.492202e+03,5.171987e-01,3.119185e-03
2.492661e+03,8.583182e-01,3.382589e-03
2.493120e+03,1.015792e-01,2.692527e-03
2.493579e+03,2.078162e-01,2.823198e-03
2.494037e+03,6.618212e-01,3.194144e-03
2.494496e+03,4.554392e-01,3.106538e-03
2.494954e+03,1.486029e-01,2.825394e-03
2.495413e+03,5.880555e-01,3.211732e-03
2.495871e+03,5.915861e-01,3.206596e-03
2.496329e+03,3.757136e-01,2.990588e-03
2.496788e+03,2.358013e-01,2.913492e-03
2.497246e+03,6.924074e-01,3.223921e-03
2.497704e+03,7.789904e-01,3.310378e-03
2.498162e+03,1.413993e-01,2.831396e-03
2.498620e+03,4.111065e-01,3.040178e-03
2.499078e+03,3.963385e-02,2.652628e-03
2.499536e+03,1.609023e-01,2.770920e-03
2.499994e+03,1.702087e-01,2.787973e-03
2.500452e+03,1.297587e-01,2.720284e-03
2.500910e+03,1.393825e-01,2.732464e-03
2.501368e+03,9.174078e-01,3.336899e-03
2.501825e+03,7.390985e-01,3.208414e-03
2.502283e+03,6.784678e-02,2.639253e-03
2.502741e+03,4.473635e-01,2.995157e-03
2.503198e+03,2.333014e-01,2.803667e-03
2.503656e+03,3.398198e-02,2.633677e-03
2.504113e+03,1.209742e-01,2.747063e-03
2.504571e+03,9.524976e-01,3.388622e-03
2.505028e+03,5.201385e-01,3.011355e-03
2.505485e+03,8.594877e-02,2.635426e-03
2.505942e+03,1.262057e-01,2.689565e-03
2.506400e+03,1.929740e-01,2.711624e-03
2.506857e+03,1.681026e-01,2.681283e-03
2.507314e+03,3.630212e-01,2.882491e-03
2.507771e+03,1.076631e-01,2.682981e-03
2.508228e+03,3.638799e-01,2.850951e-03
2.508685e+03,4.759378e-02,2.602177e-03
2.509141e+03,9.367280e-01,3.352169e-03
2.509598e+03,1.364572e-01,2.650704e-03
2.510055e+03,1.026986e+00,3.441884e-03
