wave,flux,err
2.489908e+03,8.341748e-03,2.414448e-03
2.490367e+03,2.458922e-01,2.730702e-03
2.490826e+03,2.787600e-01,2.766054e-03
2.491285e+03,6.512254e-02,2.557580e-03
2.491744e+03,2.804772e-01,2.732292e-03
2.492202e+03,3.889702e-01,2.853267e-03
2.492661e+03,1.037458e+00,3.372042e-03
2.493120e+03,5.288596e-02,2.494668e-03
2.493579e+03,1.452971e-01,2.593913e-03
2.494037e+03,3.384231e-02,2.481274e-03
2.494496e+03,2.966285e-01,2.771303e-03
2.494954e+03,1.024796e-01,2.517788e-03
2.495413e+03,2.988014e-01,2.710675e-03
2.495871e+03,4.190492e-01,2.809330e-03
2.496329e+03,3.012697e-01,2.679489e-03
2.496788e+03,1.605960e-01,2.582119e-03
2.497246e+03,1.271679e-01,2.504996e-03
2.497704e+03,5.205314e-01,2.905731e-03
2.498162e+03,9.050972e-02,2.490092e-03
2.498620e+03,4.845018e-01,2.847561e-03
2.499078e+03,2.030922e-02,2.373850e-03
2.499536e+03,1.013895e-01,2.460636e-03
2.499994e+03,9.859308e-02,2.548364e-03
2.500452e+03,7.852359e-02,2.525406e-03
2.500910e+03,4.898953e-02,2.476287e-03
2.501368e+03,5.884182e-01,2.946000e-03
2.501825e+03,2.885533e-01,2.697829e-03
2.502283e+03,5.022847e-02,2.477020e-03
2.502741e+03,2.979655e-01,2.734627e-03
2.503198e+03,1.491048e-01,2.569451e-03
2.503656e+03,3.272286e-02,2.451967e-03
2.504113e+03,4.447379e-02,2.385207e-03
2.504571e+03,3.525742e-01,2.696180e-03
2.505028e+03,2.091851e-01,2.520363e-03
2.505485e+03,4.969090e-01,2.764567e-03
2.505942e+03,8.838110e-02,2.397143e-03
2.506400e+03,3.258873e-02,2.330900e-03
2.506857e+03,1.740946e-01,2.448180e-03
2.507314e+03,2.830913e-01,2.574328e-03
2.507771e+03,6.042876e-02,2.370526e-03
2.508228e+03,2.660693e-01,2.531736e-03
2.508685e+03,3.296588e-02,2.328296e-03
2.509141e+03,7.019024e-01,2.951060e-03
2.509598e+03,1.714475e-01,2.436424e-03
2.510055e+03,7.144217e-01,2.968297e-03
2.510512e+03,6.587870e-01,2.903933e-03
2.510968e+03,6.022058e-01,2.831466e-03
2.511425e+03,5.248712e-01,2.760087e-03
2.511881e+03,5.429135e-02,2.353952e-03
2.512338e+03,5.688231e-01,2.802537e-03
2.512794e+03,2.923034e-01,2.519166e-03
2.513251e+03,8.774091e-02,2.387644e-03
2.513707e+03,4.947651e-01,2.770876e-03
2.514163e+03,2.211576e-01,2.451451e-03
2.514619e+03,2.620758e-01,2.509335e-03
2.515076e+03,9.147459e-02,2.367556e-03
2.515532e+03,5.639274e-02,2.405771e-03
2.515988e+03,4.387838e-01,2.702380e-03
2.516444e+03,4.455924e-02,2.254237e-03
2.516900e+03,1.544736e-01,2.411190e-03
2.517356e+03,2.724708e-02,2.268904e-03
2.517811e+03,1.401180e-01,2.395719e-03
2.518267e+03,4.342868e-01,2.664071e-03
2.518723e+03,2.071421e-01,2.467507e-03
