wave,flux,err
2.489908e+03,5.956149e-03,2.429695e-03
2.490367e+03,1.856578e-01,2.775308e-03
2.490826e+03,1.938899e-01,2.789214e-03
2.491285e+03,9.078862e-02,2.722584e-03
2.491744e+03,4.008979e-01,2.947651e-03
2.492202e+03,5.187680e-01,3.104495e-03
2.492661e+03,8.263501e-01,3.300908e-03
2.493120e+03,1.147453e-01,2.623573e-03
2.493579e+03,2.455789e-01,2.784634e-03
2.494037e+03,6.912948e-01,3.165879e-03
2.494496e+03,6.416683e-01,3.202967e-03
2.494954e+03,1.584666e-01,2.681120e-03
2.495413e+03,6.338469e-01,3.105695e-03
2.495871e+03,6.389235e-01,3.136564e-03
2.496329e+03,4.337155e-01,2.890933e-03
2.496788e+03,2.334858e-01,2.795377e-03
2.497246e+03,1.872104e-01,2.671648e-03
2.497704e+03,8.657629e-01,3.270441e-03
2.498162e+03,2.505855e-01,2.788824e-03
2.498620e+03,4.778650e-01,2.969044e-03
2.499078e+03,3.238160e-02,2.528240e-03
2.499536e+03,1.721320e-01,2.635642e-03
2.499994e+03,1.380610e-01,2.619401e-03
2.500452e+03,1.381861e-01,2.587085e-03
2.500910e+03,8.365131e-02,2.522800e-03
2.501368e+03,1.465317e+00,3.594998e-03
2.501825e+03,5.350790e-01,2.918609e-03
2.502283e+03,7.341084e-02,2.610063e-03
2.502741e+03,4.834781e-01,3.020435e-03
2.503198e+03,2.671286e-01,2.778616e-03
2.503656e+03,2.677259e-02,2.587356e-03
2.504113e+03,1.360789e-01,2.719553e-03
2.504571e+03,9.899556e-01,3.382248e-03
2.505028e+03,4.870151e-01,2.938481e-03
2.505485e+03,7.799359e-02,2.580889e-03
2.505942e+03,1.371962e-01,2.646098e-03
2.506400e+03,1.555608e-01,2.530887e-03
2.506857e+03,7.351197e-02,2.451508e-03
2.507314e+03,3.602993e-01,2.758880e-03
2.507771e+03,1.855306e-01,2.607669e-03
2.508228e+03,5.275876e-01,2.864561e-03
2.508685e+03,4.965415e-02,2.443494e-03
2.509141e+03,9.352499e-01,3.255978e-03
2.509598e+03,1.488342e-01,2.516871e-03
2.510055e+03,1.249432e+00,3.478928e-03
2.510512e+03,1.068991e+00,3.303229e-03
2.510968e+03,1.044311e+00,3.258744e-03
2.511425e+03,5.946837e-01,2.946247e-03
2.511881e+03,5.896679e-02,2.488716e-03
2.512338e+03,9.238213e-01,3.173741e-03
2.512794e+03,1.620296e-01,2.459390e-03
2.513251e+03,1.319235e-01,2.544907e-03
2.513707e+03,8.751665e-01,3.192733e-03
2.514163e+03,3.057387e-01,2.620868e-03
2.514619e+03,3.481650e-01,2.679242e-03
2.515076e+03,1.446593e-01,2.537970e-03
2.515532e+03,1.070868e-01,2.583436e-03
2.515988e+03,6.888874e-01,3.047251e-03
2.516444e+03,6.240669e-02,2.385701e-03
2.516900e+03,4.579957e-01,2.808555e-03
2.517356e+03,5.840953e-02,2.453736e-03
2.517811e+03,2.317556e-01,2.621999e-03
2.518267e+03,7.017311e-01,3.007939e-03
2.518723e+03,3.381929e-01,2.673094e-03
2.519179e+03,1.865553e-01,2.540202e-03
2.519634e+03,4.205271e-01,2.766727e-03
2.520090e+03,1.014375e+00,3.202901e-03
2.520545e+03,7.350085e-02,2.406421e-03
2.521001e+03,1.108613e-02,2.403084e-03
2.521456e+03,6.127606e-01,2.890125e-03
2.521911e+03,1.954687e-01,2.533317e-03
2.522367e+03,4.303072e-01,2.742219e-03
2.522822e+03,3.160659e-02,2.349771e-03
2.523277e+03,4.287251e-02,2.405370e-03
2.523732e+03,6.596933e-02,2.482080e-03
2.524187e+03,5.542441e-02,2.421735e-03
2.524642e+03,3.666114e-01,2.727396e-03
2.525097e+03,5.169484e-02,2.339687e-03
2.525552e+03,2.236149e-02,2.389253e-03
2.526007e+03,2.920297e-01,2.740743e-03
2.526462e+03,4.245218e-02,2.383685e-03
2.526917e+03,4.892047e-01,2.786610e-03
2.527371e+03,1.401933e+00,3.422877e-03
2.527826e+03,2.157415e-01,2.565632e-03
2.528281e+03,6.540944e-01,2.959444e-03
2.528735e+03,6.390504e-02,2.446649e-03
2.529190e+03,5.044138e-01,2.847491e-03
2.529644e+03,4.142289e-01,2.745832e-03
2.530098e+03,6.264440e-01,2.960139e-03
2.530553e+03,3.262505e-01,2.635720e-03
2.531007e+03,6.114356e-01,2.970885e-03
2.531461e+03,1.305289e-01,2.559215e-03
2.531915e+03,7.202393e-02,2.493452e-03
2.532370e+03,7.593691e-01,3.109988e-03
2.532824e+03,7.626579e-01,3.108833e-03
2.533278e+03,3.584758e-01,2.865966e-03
2.533732e+03,1.765720e-02,2.455467e-03
2.534185e+03,3.742438e-02,2.463727e-03
2.534639e+03,6.368211e-03,2.521826e-03
2.535093e+03,4.311479e-01,2.895577e-03
2.535547e+03,1.202414e-01,2.634974e-03
2.536000e+03,5.401469e-01,2.949929e-03
2.536454e+03,2.027403e-01,2.673826e-03
2.536908e+03,3.945051e-01,2.823145e-03
2.537361e+03,5.110526e-01,2.951906e-03
2.537815e+03,6.775901e-02,2.545092e-03
2.538268e+03,4.146697e-01,2.848385e-03
2.538721e+03,5.220192e-02,2.414814e-03
2.539175e+03,2.130496e-02,2.359684e-03
2.539628e+03,2.470126e-02,2.402199e-03
2.540081e+03,-2.735747e-04,2.440692e-03
2.540534e+03,6.980948e-02,2.428380e-03
2.540987e+03,1.471886e-01,2.527741e-03
2.541440e+03,1.501606e-01,2.518277e-03
2.541893e+03,6.427584e-02,2.507755e-03
2.542346e+03,3.199008e-01,2.671600e-03
2.542799e+03,1.097327e-01,2.495273e-03
2.543252e+03,9.855694e-02,2.490712e-03
2.543705e+03,2.697302e-01,2.614997e-03
2.544158e+03,5.571581e-01,2.848743e-03
2.544610e+03,1.626314e-01,2.516457e-03
2.545063e+03,1.324271e+00,3.469985e-03
2.545515e+03,5.971357e-02,2.476496e-03
2.545968e+03,3.966972e-01,2.795000e-03
2.546420e+03,6.718184e-01,3.010513e-03
2.546873e+03,2.033907e+00,3.936595e-03
2.547325e+03,7.086823e-01,2.942573e-03
2.547777e+03,1.434293e+00,3.511080e-03
2.548230e+03,4.964611e-01,2.783375e-03
2.548682e+03,7.052021e-02,2.474178e-03
2.549134e+03,1.938975e-01,2.607508e-03
2.549586e+03,5.042519e-02,2.442611e-03
2.550038e+03,7.409389e-01,3.042669e-03
2.550490e+03,5.350809e-01,2.839909e-03
2.550942e+03,1.779761e-01,2.505676e-03
2.551394e+03,1.004370e-01,2.599077e-03
2.551845e+03,2.445287e-01,2.728704e-03
2.552297e+03,5.946662e-01,3.027905e-03
2.552749e+03,3.468063e-01,2.798328e-03
2.553201e+03,3.180770e-02,2.628610e-03
2.553652e+03,2.108992e-01,2.674844e-03
2.554104e+03,2.441575e-01,2.844519e-03
2.554555e+03,1.920587e-02,2.427097e-03
2.555007e+03,3.568598e-01,2.716250e-03
2.555458e+03,7.202025e-01,3.041264e-03
2.555909e+03,4.777403e-01,2.867785e-03
2.556361e+03,1.474259e-01,2.584291e-03
2.556812e+03,7.100302e-01,3.031973e-03
2.557263e+03,-8.382295e-03,2.614739e-03
2.557714e+03,8.649677e-01,3.158342e-03
2.558165e+03,8.507360e-01,3.085423e-03
2.558616e+03,1.296367e+00,3.494831e-03
2.559067e+03,6.041633e-02,2.541933e-03
2.559518e+03,6.084580e-02,2.492716e-03
2.559969e+03,4.723703e-01,2.938056e-03
2.560420e+03,2.244878e-01,2.752545e-03
2.560870e+03,8.229463e-01,3.199768e-03
2.561321e+03,5.577626e-01,3.079178e-03
2.561772e+03,1.881444e-01,2.711736e-03
2.562222e+03,3.205579e-02,2.572699e-03
2.562673e+03,3.777411e-02,2.541505e-03
2.563123e+03,3.769224e-01,2.819056e-03
2.563574e+03,1.491505e-01,2.647010e-03
2.564024e+03,9.264593e-02,2.628763e-03
2.564474e+03,2.898957e-01,2.849142e-03
2.564924e+03,1.570916e-01,2.619996e-03
2.565375e+03,3.335018e-01,2.836049e-03
2.565825e+03,4.194258e-01,2.906647e-03
2.566275e+03,1.223851e-01,2.686303e-03
2.566725e+03,5.056752e-01,3.039078e-03
2.567175e+03,1.656854e-01,2.694727e-03
2.567625e+03,9.800610e-02,2.681165e-03
2.568075e+03,4.716024e-01,3.007815e-03
2.568524e+03,3.153542e-01,2.901514e-03
2.568974e+03,4.605954e-02,2.642552e-03
2.569424e+03,1.871672e+00,3.949418e-03
2.569874e+03,1.675799e-01,2.725197e-03
2.570323e+03,1.065745e+00,3.396415e-03
2.570773e+03,6.089873e-02,2.500912e-03
2.571222e+03,8.283372e-02,2.552817e-03
2.571672e+03,9.084805e-01,3.181969e-03
2.572121e+03,3.631230e-01,2.778162e-03
2.572570e+03,6.480863e-02,2.503502e-03
2.573020e+03,1.002095e-01,2.602381e-03
2.573469e+03,8.037254e-01,3.222002e-03
2.573918e+03,5.128827e-01,2.946665e-03
2.574367e+03,8.832986e-02,2.530260e-03
2.574816e+03,9.210778e-01,3.304988e-03
2.575265e+03,1.724658e-01,2.609066e-03
2.575714e+03,1.369652e-01,2.556699e-03
2.576163e+03,5.858392e-01,2.953330e-03
2.576612e+03,2.059092e-01,2.669108e-03
2.577061e+03,1.981463e-01,2.681623e-03
2.577510e+03,2.875783e-01,2.678016e-03
2.577958e+03,2.334139e-01,2.648883e-03
2.578407e+03,5.674128e-01,2.912980e-03
2.578855e+03,2.437643e-01,2.706014e-03
2.579304e+03,7.467877e-01,3.138122e-03
2.579752e+03,5.447074e-02,2.510187e-03
2.580201e+03,8.211541e-02,2.588774e-03
2.580649e+03,2.172259e-01,2.607639e-03
2.581098e+03,1.391705e-01,2.658408e-03
2.581546e+03,6.829911e-01,3.074317e-03
2.581994e+03,7.776736e-01,3.160171e-03
2.582442e+03,2.859287e-01,2.848147e-03
2.582890e+03,6.887874e-01,3.070544e-03
2.583338e+03,4.751876e-02,2.543808e-03
2.583786e+03,3.928431e-01,2.886669e-03
2.584234e+03,3.062764e-01,2.818858e-03
2.584682e+03,1.519565e-01,2.690041e-03
2.585130e+03,1.323311e+00,3.626716e-03
2.585578e+03,4.523225e-01,2.900095e-03
2.586025e+03,4.076649e-01,2.914846e-03
2.586473e+03,1.494148e-01,2.726667e-03
2.586921e+03,6.231310e-01,3.143129e-03
2.587368e+03,7.643866e-01,3.169891e-03
2.587816e+03,1.184204e-01,2.615849e-03
2.588263e+03,4.297250e-01,2.874192e-03
2.588711e+03,8.267003e-02,2.700606e-03
2.589158e+03,8.012371e-01,3.315444e-03
2.589605e+03,5.936924e-01,3.080863e-03
2.590053e+03,3.081194e-01,2.902940e-03
2.590500e+03,8.732007e-02,2.717335e-03
2.590947e+03,1.102456e+00,3.549337e-03
2.591394e+03,3.050901e-02,2.778490e-03
2.591841e+03,4.850403e-01,3.038378e-03
2.592288e+03,9.028401e-01,3.350933e-03
2.592735e+03,1.176831e+00,3.550016e-03
2.593182e+03,2.653632e-01,2.891218e-03
2.593629e+03,3.282881e-01,2.954017e-03
2.594075e+03,5.715833e-01,3.163221e-03
2.594522e+03,1.878300e-01,2.701254e-03
2.594969e+03,7.218047e-01,3.222106e-03
2.595415e+03,1.004174e+00,3.468338e-03
2.595862e+03,6.984368e-01,3.248000e-03
2.596308e+03,5.331413e-01,3.109058e-03
2.596755e+03,7.057996e-02,2.697816e-03
2.597201e+03,3.719119e-01,2.980666e-03
2.597647e+03,1.153340e-01,2.706657e-03
2.598094e+03,7.054890e-01,3.323030e-03
2.598540e+03,5.158026e-01,3.083653e-03
2.598986e+03,4.602123e-01,3.053705e-03
2.599432e+03,9.461859e-02,2.746338e-03
2.599878e+03,5.088639e-01,3.115969e-03
2.600324e+03,1.840257e-01,2.808193e-03
2.600770e+03,1.086307e-01,2.804887e-03
2.601216e+03,6.779292e-02,2.840352e-03
2.601662e+03,4.866819e-01,3.119571e-03
2.602108e+03,9.615795e-02,2.624553e-03
2.602553e+03,9.325948e-02,2.638099e-03
2.602999e+03,3.107405e-01,2.808059e-03
2.603445e+03,3.918709e-01,2.912150e-03
2.603890e+03,8.272066e-01,3.259233e-03
2.604336e+03,4.660558e-02,2.590504e-03
2.604781e+03,6.183880e-02,2.612529e-03
2.605227e+03,1.238895e+00,3.558007e-03
2.605672e+03,8.829900e-01,3.250771e-03
2.606117e+03,1.348566e+00,3.666300e-03
