wave,flux,err
2.489908e+03,4.920297e-03,2.210415e-03
2.490367e+03,1.847513e-01,2.501216e-03
2.490826e+03,1.056810e-01,2.404614e-03
2.491285e+03,1.396402e-01,2.447114e-03
2.491744e+03,3.503204e-01,2.637572e-03
2.492202e+03,9.425013e-02,2.428329e-03
2.492661e+03,2.237768e-01,2.527194e-03
2.493120e+03,7.075645e-02,2.340239e-03
2.493579e+03,1.969638e-01,2.483513e-03
2.494037e+03,8.634794e-01,3.076271e-03
2.494496e+03,3.818472e-01,2.684192e-03
2.494954e+03,1.390406e-01,2.388332e-03
2.495413e+03,5.226133e-01,2.755082e-03
2.495871e+03,4.646567e-01,2.723873e-03
2.496329e+03,7.836388e-02,2.303534e-03
2.496788e+03,9.561304e-02,2.256062e-03
2.497246e+03,3.927594e-01,2.516019e-03
2.497704e+03,9.818274e-02,2.280224e-03
2.498162e+03,5.927146e-02,2.225859e-03
2.498620e+03,3.402820e-01,2.491760e-03
2.499078e+03,6.806970e-02,2.150274e-03
2.499536e+03,8.299103e-02,2.168869e-03
2.499994e+03,1.862387e-01,2.280505e-03
2.500452e+03,8.733761e-02,2.159814e-03
2.500910e+03,1.621991e-01,2.266001e-03
2.501368e+03,8.353075e-01,2.864868e-03
2.501825e+03,3.853178e-01,2.464139e-03
2.502283e+03,6.463424e-02,2.128804e-03
2.502741e+03,1.025089e-01,2.194916e-03
2.503198e+03,2.650311e-01,2.343373e-03
2.503656e+03,1.306540e-01,2.211651e-03
2.504113e+03,1.592567e-01,2.253842e-03
2.504571e+03,9.682652e-01,2.974945e-03
2.505028e+03,5.508351e-01,2.589902e-03
2.505485e+03,1.070125e-01,2.144041e-03
2.505942e+03,1.279756e-01,2.172138e-03
2.506400e+03,2.253632e-01,2.249620e-03
2.506857e+03,1.710630e-01,2.191828e-03
2.507314e+03,4.048019e-01,2.449861e-03
2.507771e+03,1.692346e-01,2.203657e-03
2.508228e+03,4.980346e-01,2.529780e-03
2.508685e+03,1.196996e-01,2.157209e-03
2.509141e+03,5.357763e-01,2.599679e-03
2.509598e+03,1.697944e-01,2.204771e-03
2.510055e+03,6.819239e-01,2.746075e-03
2.510512e+03,3.889342e-01,2.414176e-03
2.510968e+03,6.190391e-01,2.628176e-03
2.511425e+03,5.367423e-01,2.555195e-03
2.511881e+03,3.914293e-01,2.436588e-03
2.512338e+03,7.093008e-01,2.705917e-03
2.512794e+03,1.447057e-01,2.128163e-03
2.513251e+03,1.857787e-01,2.228218e-03
2.513707e+03,3.983382e-01,2.463846e-03
2.514163e+03,9.456270e-02,2.092217e-03
