wave,flux,err
2.489908e+03,7.274506e-03,2.316053e-03
2.490367e+03,2.078745e-01,2.626952e-03
2.490826e+03,2.178994e-01,2.622541e-03
2.491285e+03,1.730038e-01,2.582229e-03
2.491744e+03,3.924735e-01,2.780132e-03
2.492202e+03,5.194604e-01,2.923104e-03
2.492661e+03,3.156267e-01,2.707917e-03
2.493120e+03,1.068716e-01,2.453920e-03
2.493579e+03,2.316595e-01,2.604612e-03
2.494037e+03,5.651939e-01,2.906169e-03
2.494496e+03,4.102937e-01,2.811556e-03
2.494954e+03,1.424767e-01,2.488433e-03
2.495413e+03,5.513682e-01,2.876427e-03
2.495871e+03,5.076729e-01,2.834063e-03
2.496329e+03,2.542962e-01,2.566993e-03
2.496788e+03,1.254837e-01,2.468697e-03
2.497246e+03,1.895565e-01,2.480821e-03
2.497704e+03,6.279401e-01,2.862094e-03
2.498162e+03,2.576529e-01,2.504073e-03
2.498620e+03,3.739080e-01,2.606599e-03
2.499078e+03,7.901787e-02,2.264894e-03
2.499536e+03,1.865209e-01,2.373710e-03
2.499994e+03,1.186086e-01,2.296743e-03
2.500452e+03,1.022003e-01,2.280547e-03
2.500910e+03,1.061622e-01,2.278401e-03
2.501368e+03,8.884137e-01,2.964201e-03
2.501825e+03,1.999885e-01,2.343797e-03
2.502283e+03,1.137774e-01,2.260495e-03
2.502741e+03,3.212909e-01,2.524228e-03
2.503198e+03,2.561148e-01,2.421803e-03
2.503656e+03,1.008883e-01,2.281754e-03
2.504113e+03,1.774570e-01,2.367576e-03
2.504571e+03,5.308153e-01,2.688425e-03
2.505028e+03,2.490949e-01,2.391817e-03
2.505485e+03,1.535284e-01,2.287860e-03
2.505942e+03,1.689689e-01,2.399366e-03
2.506400e+03,2.115524e-01,2.419560e-03
2.506857e+03,1.576273e-01,2.360633e-03
2.507314e+03,4.454740e-01,2.661165e-03
2.507771e+03,1.952685e-01,2.432917e-03
2.508228e+03,5.483719e-01,2.729100e-03
2.508685e+03,1.465339e-01,2.366220e-03
2.509141e+03,8.780004e-01,3.037227e-03
2.509598e+03,2.075045e-01,2.405978e-03
2.510055e+03,7.293121e-01,2.935024e-03
2.510512e+03,9.060656e-01,3.017224e-03
2.510968e+03,1.098079e+00,3.169413e-03
2.511425e+03,6.168638e-01,2.786488e-03
2.511881e+03,1.452550e-01,2.372334e-03
2.512338e+03,7.725814e-01,2.910742e-03
2.512794e+03,1.800696e-01,2.333419e-03
2.513251e+03,2.158557e-01,2.449029e-03
2.513707e+03,4.619686e-01,2.676432e-03
2.514163e+03,3.111183e-01,2.475343e-03
2.514619e+03,3.495301e-01,2.516227e-03
2.515076e+03,1.817808e-01,2.389483e-03
2.515532e+03,1.604309e-01,2.423220e-03
2.515988e+03,6.641615e-01,2.851754e-03
2.516444e+03,1.243873e-01,2.288075e-03
2.516900e+03,2.693025e-01,2.470478e-03
2.517356e+03,1.277626e-01,2.335102e-03
2.517811e+03,2.430926e-01,2.457541e-03
2.518267e+03,5.692782e-01,2.749462e-03
2.518723e+03,3.105772e-01,2.497030e-03
2.519179e+03,2.107825e-01,2.412332e-03
2.519634e+03,4.299478e-01,2.623470e-03
2.520090e+03,4.527242e-01,2.632163e-03
2.520545e+03,1.484504e-01,2.321206e-03
2.521001e+03,1.062862e-01,2.306636e-03
2.521456e+03,5.524440e-01,2.709617e-03
2.521911e+03,1.089913e-01,2.281513e-03
2.522367e+03,4.534660e-01,2.602423e-03
2.522822e+03,1.034366e-01,2.273602e-03
2.523277e+03,1.147744e-01,2.288187e-03
2.523732e+03,1.312149e-01,2.346518e-03
2.524187e+03,1.072439e-01,2.295852e-03
2.524642e+03,3.564786e-01,2.557461e-03
2.525097e+03,9.805178e-02,2.224320e-03
2.525552e+03,8.016171e-02,2.260615e-03
2.526007e+03,2.204108e-01,2.455823e-03
2.526462e+03,9.361893e-02,2.253503e-03
2.526917e+03,3.537418e-01,2.523990e-03
2.527371e+03,9.325570e-01,2.976792e-03
2.527826e+03,2.599328e-01,2.436468e-03
2.528281e+03,4.753505e-01,2.669493e-03
2.528735e+03,1.017285e-01,2.293660e-03
2.529190e+03,4.199721e-01,2.610990e-03
2.529644e+03,3.422509e-01,2.526279e-03
2.530098e+03,5.771616e-01,2.662301e-03
2.530553e+03,2.699625e-01,2.323413e-03
2.531007e+03,4.609762e-01,2.520132e-03
2.531461e+03,1.542950e-01,2.220377e-03
2.531915e+03,1.680140e-01,2.222223e-03
2.532370e+03,7.260801e-01,2.761018e-03
2.532824e+03,7.241717e-01,2.743660e-03
2.533278e+03,3.126894e-01,2.427818e-03
2.533732e+03,7.383223e-02,2.132786e-03
2.534185e+03,9.829746e-02,2.145798e-03
2.534639e+03,6.995257e-02,2.189438e-03
2.535093e+03,3.505451e-01,2.556915e-03
2.535547e+03,1.364017e-01,2.365405e-03
2.536000e+03,5.595412e-01,2.729358e-03
2.536454e+03,1.945395e-01,2.388311e-03
2.536908e+03,2.582873e-01,2.451796e-03
2.537361e+03,4.088491e-01,2.642644e-03
2.537815e+03,9.497880e-02,2.310777e-03
2.538268e+03,3.665585e-01,2.552001e-03
2.538721e+03,9.617285e-02,2.277129e-03
2.539175e+03,7.805043e-02,2.255001e-03
2.539628e+03,8.061740e-02,2.270079e-03
2.540081e+03,6.303441e-02,2.307157e-03
2.540534e+03,9.683636e-02,2.276998e-03
2.540987e+03,1.846564e-01,2.374645e-03
2.541440e+03,2.367907e-01,2.431880e-03
2.541893e+03,1.171994e-01,2.355286e-03
2.542346e+03,2.258781e-01,2.435016e-03
2.542799e+03,1.529023e-01,2.356966e-03
2.543252e+03,1.508953e-01,2.368336e-03
2.543705e+03,3.144856e-01,2.489566e-03
2.544158e+03,4.767612e-01,2.638319e-03
2.544610e+03,1.963192e-01,2.388053e-03
2.545063e+03,9.082443e-01,3.035155e-03
2.545515e+03,1.252777e-01,2.341771e-03
2.545968e+03,3.472612e-01,2.574718e-03
2.546420e+03,5.538469e-01,2.748805e-03
2.546873e+03,6.660622e-01,2.832499e-03
2.547325e+03,5.553622e-01,2.704610e-03
2.547777e+03,5.596001e-01,2.746686e-03
2.548230e+03,5.479813e-01,2.710090e-03
2.548682e+03,1.282998e-01,2.357036e-03
2.549134e+03,2.301903e-01,2.467697e-03
2.549586e+03,1.163691e-01,2.358650e-03
2.550038e+03,6.007085e-01,2.807224e-03
2.550490e+03,5.416505e-01,2.724404e-03
2.550942e+03,2.005853e-01,2.397280e-03
2.551394e+03,2.125308e-01,2.521690e-03
2.551845e+03,2.890046e-01,2.559093e-03
2.552297e+03,5.329080e-01,2.808954e-03
2.552749e+03,3.338853e-01,2.622182e-03
2.553201e+03,1.237645e-01,2.475151e-03
2.553652e+03,2.862255e-01,2.546088e-03
2.554104e+03,3.379850e-01,2.618878e-03
2.554555e+03,1.047800e-01,2.337039e-03
2.555007e+03,3.160888e-01,2.554292e-03
2.555458e+03,6.314523e-01,2.823093e-03
2.555909e+03,1.065995e-01,2.342131e-03
2.556361e+03,1.974134e-01,2.434405e-03
2.556812e+03,6.779548e-01,2.842564e-03
2.557263e+03,1.101998e-01,2.402991e-03
2.557714e+03,7.419638e-01,2.914285e-03
2.558165e+03,7.017514e-01,2.851367e-03
2.558616e+03,5.223303e-01,2.750698e-03
2.559067e+03,1.318032e-01,2.392579e-03
2.559518e+03,1.180170e-01,2.343124e-03
2.559969e+03,4.591283e-01,2.663565e-03
2.560420e+03,4.600389e-01,2.668026e-03
2.560870e+03,6.664340e-01,2.833638e-03
2.561321e+03,3.253073e-01,2.572428e-03
2.561772e+03,2.248191e-01,2.360786e-03
2.562222e+03,1.380446e-01,2.265650e-03
2.562673e+03,1.447781e-01,2.259704e-03
2.563123e+03,3.680046e-01,2.470580e-03
2.563574e+03,1.822058e-01,2.302006e-03
2.564024e+03,1.845202e-01,2.412907e-03
2.564474e+03,3.766927e-01,2.621956e-03
2.564924e+03,2.269816e-01,2.421949e-03
2.565375e+03,3.603643e-01,2.584063e-03
2.565825e+03,4.353174e-01,2.654494e-03
2.566275e+03,2.074062e-01,2.450673e-03
2.566725e+03,3.943872e-01,2.666211e-03
2.567175e+03,2.395355e-01,2.482084e-03
2.567625e+03,2.018663e-01,2.485282e-03
2.568075e+03,5.529776e-01,2.822471e-03
2.568524e+03,3.590345e-01,2.651720e-03
2.568974e+03,1.653175e-01,2.440257e-03
2.569424e+03,1.170476e+00,3.285516e-03
2.569874e+03,2.463773e-01,2.519064e-03
2.570323e+03,7.406072e-01,2.978426e-03
2.570773e+03,1.700400e-01,2.436541e-03
2.571222e+03,1.808981e-01,2.452417e-03
2.571672e+03,1.883703e-01,2.422700e-03
2.572121e+03,2.136530e-01,2.476220e-03
2.572570e+03,1.593524e-01,2.425822e-03
2.573020e+03,1.885779e-01,2.498995e-03
2.573469e+03,6.326765e-01,2.926161e-03
2.573918e+03,1.873996e-01,2.472151e-03
2.574367e+03,2.239064e-01,2.484763e-03
2.574816e+03,8.192640e-01,3.061251e-03
2.575265e+03,2.513010e-01,2.525384e-03
2.575714e+03,2.757409e-01,2.536538e-03
2.576163e+03,5.608795e-01,2.803038e-03
2.576612e+03,3.023480e-01,2.589321e-03
2.577061e+03,2.626813e-01,2.555012e-03
2.577510e+03,3.686094e-01,2.618306e-03
2.577958e+03,3.327645e-01,2.600709e-03
2.578407e+03,5.915081e-01,2.814439e-03
2.578855e+03,3.994546e-01,2.678989e-03
2.579304e+03,7.799446e-01,3.015089e-03
2.579752e+03,2.364677e-01,2.535706e-03
2.580201e+03,2.691663e-01,2.580932e-03
2.580649e+03,4.563505e-01,2.707555e-03
2.581098e+03,2.843637e-01,2.638079e-03
2.581546e+03,7.200871e-01,2.975301e-03
2.581994e+03,8.202817e-01,3.062128e-03
2.582442e+03,6.094716e-01,2.943566e-03
2.582890e+03,7.253408e-01,2.974948e-03
2.583338e+03,2.393909e-01,2.547534e-03
2.583786e+03,5.455425e-01,2.863631e-03
2.584234e+03,6.615293e-01,2.943738e-03
2.584682e+03,2.838587e-01,2.622252e-03
2.585130e+03,1.305637e+00,3.459003e-03
2.585578e+03,4.239978e-01,2.725131e-03
2.586025e+03,4.795653e-01,2.803982e-03
2.586473e+03,2.716659e-01,2.624760e-03
2.586921e+03,7.039213e-01,3.016667e-03
2.587368e+03,6.782605e-01,2.949889e-03
2.587816e+03,2.386568e-01,2.546500e-03
2.588263e+03,4.741254e-01,2.725803e-03
2.588711e+03,2.454420e-01,2.534004e-03
2.589158e+03,7.437459e-01,3.001135e-03
2.589605e+03,6.617947e-01,2.894305e-03
2.590053e+03,4.370039e-01,2.730228e-03
2.590500e+03,2.931582e-01,2.587241e-03
2.590947e+03,8.670419e-01,3.098732e-03
2.591394e+03,2.718611e-01,2.639530e-03
2.591841e+03,5.483092e-01,2.802630e-03
2.592288e+03,8.464103e-01,3.067988e-03
2.592735e+03,1.057210e+00,3.300826e-03
2.593182e+03,2.559719e-01,2.661391e-03
2.593629e+03,3.082565e-01,2.649846e-03
2.594075e+03,4.944184e-01,2.790216e-03
2.594522e+03,2.897803e-01,2.541366e-03
2.594969e+03,6.195864e-01,2.884214e-03
2.595415e+03,8.802129e-01,3.111218e-03
2.595862e+03,6.972258e-01,2.968149e-03
2.596308e+03,4.470719e-01,2.746437e-03
2.596755e+03,2.028019e-01,2.504133e-03
2.597201e+03,3.172309e-01,2.648483e-03
2.597647e+03,2.105086e-01,2.506632e-03
2.598094e+03,8.049752e-01,3.089336e-03
2.598540e+03,4.973209e-01,2.819268e-03
2.598986e+03,4.063027e-01,2.735503e-03
2.599432e+03,2.661449e-01,2.630139e-03
