wave,flux,err
2.489908e+03,9.244195e-03,2.504791e-03
2.490367e+03,2.561840e-01,2.829289e-03
2.490826e+03,3.412237e-01,2.909405e-03
2.491285e+03,1.119897e-01,2.703082e-03
2.491744e+03,2.916274e-01,2.834639e-03
2.492202e+03,8.832603e-01,3.369907e-03
2.492661e+03,9.633814e-01,3.388026e-03
2.493120e+03,7.154306e-02,2.597707e-03
2.493579e+03,1.562180e-01,2.682919e-03
2.494037e+03,5.056626e-02,2.689091e-03
2.494496e+03,2.920853e-01,2.956515e-03
2.494954e+03,4.008759e-01,2.962462e-03
2.495413e+03,2.972165e-01,2.868837e-03
2.495871e+03,3.943209e-01,2.965975e-03
2.496329e+03,3.833820e-01,2.917503e-03
2.496788e+03,1.165195e-01,2.730642e-03
2.497246e+03,1.456551e-01,2.705140e-03
2.497704e+03,5.559616e-01,3.067657e-03
2.498162e+03,3.475201e-01,2.894192e-03
2.498620e+03,4.924793e-01,2.998396e-03
2.499078e+03,8.710776e-02,2.645204e-03
2.499536e+03,1.698083e-01,2.700123e-03
2.499994e+03,1.272159e-01,2.667181e-03
2.500452e+03,1.344576e-01,2.649929e-03
2.500910e+03,1.123068e-01,2.617333e-03
2.501368e+03,2.642451e-01,2.717480e-03
2.501825e+03,3.325385e-01,2.777722e-03
2.502283e+03,1.053987e-01,2.577502e-03
2.502741e+03,3.406806e-01,2.850955e-03
2.503198e+03,1.957333e-01,2.700340e-03
2.503656e+03,8.391528e-02,2.590570e-03
2.504113e+03,8.136289e-02,2.612897e-03
2.504571e+03,4.213381e-01,2.911688e-03
2.505028e+03,1.674855e-01,2.645132e-03
2.505485e+03,4.882819e-01,2.929430e-03
2.505942e+03,1.017839e-01,2.588316e-03
2.506400e+03,7.124197e-02,2.536816e-03
2.506857e+03,2.012435e-01,2.651509e-03
2.507314e+03,3.154271e-01,2.777444e-03
2.507771e+03,9.131741e-02,2.577599e-03
2.508228e+03,3.322074e-01,2.761304e-03
2.508685e+03,7.111454e-02,2.540799e-03
