wave,flux,err
2.489908e+03,8.875369e-03,2.699578e-03
2.490367e+03,1.694426e-01,2.934099e-03
2.490826e+03,3.311919e-01,3.057121e-03
2.491285e+03,1.027031e-01,2.870774e-03
2.491744e+03,2.176453e-01,2.952742e-03
2.492202e+03,1.024359e+00,3.621753e-03
2.492661e+03,1.001136e+00,3.554688e-03
2.493120e+03,1.036259e-01,2.814318e-03
2.493579e+03,3.881210e-01,3.066666e-03
2.494037e+03,3.799106e-02,2.765241e-03
2.494496e+03,2.947462e-01,3.034652e-03
2.494954e+03,3.644806e-01,3.018308e-03
2.495413e+03,2.686719e-01,2.940090e-03
2.495871e+03,3.555134e-01,2.989995e-03
2.496329e+03,3.356095e-01,2.949266e-03
2.496788e+03,9.978987e-02,2.791592e-03
2.497246e+03,1.547502e-01,2.773361e-03
2.497704e+03,5.353699e-01,3.120258e-03
2.498162e+03,2.647276e-01,2.911742e-03
2.498620e+03,4.615713e-01,3.044236e-03
2.499078e+03,6.924535e-02,2.720715e-03
2.499536e+03,1.330701e-01,2.749369e-03
2.499994e+03,1.882570e-01,2.781649e-03
2.500452e+03,1.094748e-01,2.712472e-03
2.500910e+03,8.919895e-02,2.681219e-03
2.501368e+03,1.347343e-01,2.727729e-03
2.501825e+03,5.064491e-01,3.028818e-03
2.502283e+03,8.749101e-02,2.670862e-03
2.502741e+03,2.802801e-01,2.871236e-03
2.503198e+03,1.705414e-01,2.764506e-03
2.503656e+03,8.471392e-02,2.652715e-03
2.504113e+03,8.397013e-02,2.667577e-03
2.504571e+03,5.534737e-01,3.087971e-03
2.505028e+03,1.500182e-01,2.716803e-03
2.505485e+03,6.629956e-01,3.129109e-03
2.505942e+03,1.178201e-01,2.698293e-03
2.506400e+03,5.820077e-02,2.602043e-03
2.506857e+03,2.186714e-01,2.730962e-03
2.507314e+03,1.396766e-01,2.734512e-03
2.507771e+03,6.477248e-02,2.635201e-03
2.508228e+03,2.412516e-01,2.744154e-03
2.508685e+03,1.022112e-01,2.640035e-03
2.509141e+03,5.737611e-01,3.068630e-03
2.509598e+03,2.559738e-01,2.762788e-03
2.510055e+03,6.693976e-01,3.151000e-03
2.510512e+03,7.276161e-01,3.154339e-03
2.510968e+03,5.764345e-01,3.032084e-03
2.511425e+03,4.929309e-01,2.954759e-03
2.511881e+03,1.904345e-01,2.737138e-03
2.512338e+03,5.085632e-01,2.962802e-03
2.512794e+03,3.798989e-01,2.824080e-03
2.513251e+03,6.845881e-02,2.625421e-03
2.513707e+03,6.017759e-01,3.052708e-03
2.514163e+03,1.626128e-01,2.635683e-03
2.514619e+03,3.583714e-01,2.814261e-03
2.515076e+03,1.120503e-01,2.625946e-03
2.515532e+03,6.953823e-02,2.674446e-03
2.515988e+03,4.449967e-01,2.939135e-03
2.516444e+03,8.139274e-02,2.563996e-03
2.516900e+03,1.704139e-01,2.685367e-03
2.517356e+03,1.067375e-01,2.585132e-03
2.517811e+03,1.644489e-01,2.652772e-03
2.518267e+03,4.356676e-01,2.875846e-03
2.518723e+03,3.740529e-01,2.811549e-03
2.519179e+03,5.422552e-02,2.528435e-03
2.519634e+03,1.014579e-01,2.576094e-03
2.520090e+03,1.101803e+00,3.403837e-03
2.520545e+03,4.184527e-02,2.529625e-03
2.521001e+03,3.760372e-02,2.560961e-03
2.521456e+03,4.469822e-01,2.876672e-03
2.521911e+03,9.769260e-02,2.571151e-03
2.522367e+03,3.745993e-01,2.819850e-03
2.522822e+03,5.126936e-02,2.534906e-03
2.523277e+03,3.849478e-02,2.548083e-03
2.523732e+03,2.098366e-01,2.734151e-03
2.524187e+03,5.172899e-02,2.560776e-03
2.524642e+03,5.704020e-01,2.994224e-03
2.525097e+03,6.541193e-02,2.528966e-03
2.525552e+03,5.945663e-02,2.558693e-03
2.526007e+03,7.830054e-02,2.617092e-03
2.526462e+03,5.030364e-02,2.536362e-03
2.526917e+03,3.370282e-01,2.788843e-03
2.527371e+03,5.470490e-01,2.927367e-03
2.527826e+03,1.314947e-01,2.624769e-03
2.528281e+03,5.316428e-01,2.943766e-03
2.528735e+03,2.497631e-01,2.701403e-03
2.529190e+03,3.358579e-01,2.775289e-03
2.529644e+03,2.423232e-01,2.727157e-03
2.530098e+03,2.764988e-01,2.768702e-03
2.530553e+03,1.206392e-01,2.594106e-03
2.531007e+03,8.742761e-02,2.589383e-03
2.531461e+03,8.232740e-02,2.583349e-03
2.531915e+03,7.337668e-02,2.599327e-03
2.532370e+03,5.150268e-01,2.939020e-03
2.532824e+03,4.151936e-01,2.853226e-03
2.533278e+03,3.699049e-01,2.839975e-03
2.533732e+03,3.386275e-02,2.534460e-03
2.534185e+03,3.928827e-02,2.534677e-03
2.534639e+03,5.861268e-02,2.587675e-03
2.535093e+03,3.242759e-01,2.811352e-03
2.535547e+03,8.584581e-02,2.634355e-03
2.536000e+03,9.387538e-02,2.589144e-03
2.536454e+03,1.354702e-01,2.650621e-03
2.536908e+03,2.277944e-01,2.730435e-03
2.537361e+03,3.153351e-01,2.829716e-03
2.537815e+03,2.070706e-01,2.716765e-03
2.538268e+03,2.573682e-01,2.743608e-03
2.538721e+03,1.182809e-01,2.601002e-03
2.539175e+03,2.041562e-01,2.682150e-03
2.539628e+03,4.892574e-02,2.560966e-03
2.540081e+03,4.901897e-02,2.575787e-03
2.540534e+03,7.075693e-02,2.571677e-03
2.540987e+03,1.272541e-01,2.620509e-03
2.541440e+03,5.384258e-02,2.570742e-03
2.541893e+03,7.155819e-02,2.604497e-03
2.542346e+03,2.949463e-01,2.767542e-03
2.542799e+03,1.008581e-01,2.606764e-03
2.543252e+03,3.775446e-01,2.854982e-03
2.543705e+03,7.261209e-02,2.574586e-03
2.544158e+03,7.036016e-01,3.099914e-03
2.544610e+03,1.504025e-01,2.652711e-03
2.545063e+03,1.007003e+00,3.353913e-03
2.545515e+03,6.494231e-02,2.608933e-03
2.545968e+03,1.594510e-01,2.693438e-03
2.546420e+03,4.853775e-01,2.937594e-03
2.546873e+03,1.120767e+00,3.409835e-03
2.547325e+03,6.499424e-02,2.558673e-03
2.547777e+03,9.272571e-01,3.329149e-03
2.548230e+03,4.307173e-01,2.948176e-03
2.548682e+03,7.297469e-02,2.681979e-03
2.549134e+03,1.535169e-01,2.755109e-03
2.549586e+03,1.626626e-01,2.769023e-03
2.550038e+03,4.381383e-01,2.985640e-03
2.550490e+03,1.033287e+00,3.343338e-03
2.550942e+03,1.717253e-01,2.663509e-03
2.551394e+03,6.832541e-02,2.672713e-03
2.551845e+03,1.160132e-01,2.699691e-03
2.552297e+03,3.234813e-01,2.905366e-03
2.552749e+03,4.770389e-01,3.031778e-03
2.553201e+03,7.037046e-02,2.738951e-03
2.553652e+03,7.550877e-01,3.174285e-03
2.554104e+03,4.128624e-01,2.967273e-03
2.554555e+03,9.166827e-02,2.633036e-03
2.555007e+03,2.228980e-01,2.749386e-03
2.555458e+03,1.652187e-01,2.709326e-03
2.555909e+03,4.439809e-01,2.930777e-03
2.556361e+03,1.315094e-01,2.686844e-03
