visit,frmid,fov,date_obs,tai_s,boresight_ra_deg,boresight_dec_deg,roll_deg,mars_ra_deg,mars_dec_deg,offset_arcsec,offset_east_arcsec,offset_north_arcsec,offset_across_slit_arcsec,offset_along_slit_arcsec,t_min
Visit1,3726,5x5MR,2024-12-22T03:49:26.000,788154603.0,127.467324,22.608892,-9.056058,127.46693647830983,22.611092247281913,8.024904157811656,-1.2878671226023706,7.920890214884935,-2.5185676071692593,7.619443597130812,0.0
Visit1,3727,5x5MR,2024-12-22T03:51:31.000,788154728.0,127.467045,22.612923,-9.054096,127.46663558169058,22.611227229388017,6.2545614658930555,-1.3605972098522143,-6.104774203132024,-0.3829549033573846,-6.242822949650134,2.0833333333333335
Visit1,3728,5x5MR,2024-12-22T03:53:36.000,788154853.0,127.468055,22.611166,-9.057652,127.46633465454131,22.611362216849134,5.760670972045665,-5.717201877990837,0.7063806568794462,-5.757115095060772,-0.20247648836044208,4.166666666666667
Visit1,3729,5x5MR,2024-12-22T03:55:41.000,788154978.0,127.470161,22.609085,-9.056064,127.46603369686207,22.611497209664286,16.234161072597253,-13.716420770196903,8.68395479142805,-14.912304610176676,6.416731315705735,6.25
Visit1,3730,5x5MR,2024-12-22T03:57:46.000,788155103.0,127.468494,22.611859,-9.058384,127.46573270866283,22.611632207834425,9.212774436168996,-9.17651766488649,-0.8164517960651096,-8.933529161607895,-2.2510279225218564,8.333333333333334
Visit1,3731,5x5MR,2024-12-22T03:59:51.000,788155228.0,127.468812,22.6106,-9.053141,127.46543168993357,22.611767211358593,11.99388966053686,-11.23378707117647,4.201960890929968,-11.755026317531103,2.3819747193426957,10.416666666666666
Visit1,3732,5x5MR,2024-12-22T04:01:56.000,788155353.0,127.468361,22.60982,-9.06092,127.46513064067432,22.61190222023478,13.093489957073926,-10.735516524106625,7.49599284520599,-11.78205586237537,5.711775856124953,12.5
Visit1,3733,5x5MR,2024-12-22T04:04:02.000,788155479.0,127.470742,22.610889,-9.059831,127.46482715213725,22.612038314601314,20.087429652147183,-19.656777206175317,4.13753256472944,-20.0630677712776,0.9906449730010469,14.6
Visit1,3734,5x5MR,2024-12-22T04:06:07.000,788155604.0,127.469832,22.610083,-9.05849,127.464526041588,22.612173334226522,19.171838998683675,-17.63336198024488,7.525203215482179,-18.59822899592524,4.655106483827694,16.683333333333334
Visit1,3735,5x5MR,2024-12-22T04:08:12.000,788155729.0,127.468575,22.610705,-9.054435,127.46422490050875,22.61230835920375,15.566314722529407,-14.456677986590206,5.772093133508349,-15.184907512150401,3.425081224919254,18.766666666666666
Visit1,3736,5x5MR,2024-12-22T05:23:16.000,788160233.0,127.453337,22.617251,-9.055397,127.45335382320525,22.617177146074475,0.2716778039607615,0.055905867761103685,-0.26587413188821074,0.09705484848730511,-0.25376145578581855,93.83333333333333
Visit1,3737,5x5MR,2024-12-22T05:25:21.000,788160358.0,127.454909,22.616071,-9.055643,127.45305155199603,22.617312368930175,7.620506658353899,-6.172612884258269,4.4689281486256505,-6.799057783517835,3.441697527801567,95.91666666666667
Visit1,3738,5x5MR,2024-12-22T05:27:26.000,788160483.0,127.454864,22.617951,-9.057294,127.45274925027684,22.617447597120854,7.257494053332627,-7.027573811991939,-1.8122503649294686,-6.654661768762089,-2.8959492073512143,98.0
Visit1,3739,5x5MR,2024-12-22T05:29:31.000,788160608.0,127.45567,22.619751,-9.058531,127.45244691804761,22.61758283064656,13.253010381424213,-10.710558132468396,-7.805409672393182,-9.348066284526409,-9.394367057070667,100.08333333333333
Visit1,3740,5x5MR,2024-12-22T05:31:36.000,788160733.0,127.454872,22.61689,-9.051688,127.45214455530841,22.617718069505315,9.541326601115871,-9.06370458522786,2.9810502191295996,-9.419827575455113,1.5179755155958934,102.16666666666667
Visit2,4860,5x5MR,2025-01-12T04:32:26.000,789971583.0,120.399295,24.815502,26.142992,120.39773179172128,24.816235611119343,5.750271176895869,-5.107924128123259,2.6410000296380076,-3.42171062172351,4.621435542815265,0.0
Visit2,4861,5x5MR,2025-01-12T04:35:11.000,789971748.0,120.399298,24.818895,26.141583,120.39692298239969,24.816423761466144,11.805572855053908,-7.760371833544159,-8.896458721886802,-10.88624618225938,-4.567274115306015,2.75
Visit2,4862,5x5MR,2025-01-12T04:37:56.000,789971913.0,120.400962,24.81834,26.14299,120.39611416115804,24.816611903440926,17.01834509538136,-15.840388099487464,-6.221147612664879,-16.960990093866535,1.394771593025622,5.5
Visit2,4863,5x5MR,2025-01-12T04:40:41.000,789972078.0,120.398256,24.817685,26.144878,120.39530532801642,24.816800037039783,10.154178208284772,-9.641417133530236,-3.185866656782821,-10.058761488722732,1.388520079264039,8.25
Visit2,4864,5x5MR,2025-01-12T04:43:26.000,789972243.0,120.399668,24.81611,26.143803,120.39449648297474,24.81698816226461,17.19143399238135,-16.89831568558608,3.161384152605251,-13.77647876201366,10.283776334102896,11.0
Visit2,4865,5x5MR,2025-01-12T04:46:11.000,789972408.0,120.400631,24.816288,26.142288,120.39368762603304,24.817176279110495,22.91212934515099,-22.68795714888577,3.1978047977801793,-18.9580800286419,12.867033719625981,13.75
Visit2,4866,5x5MR,2025-01-12T04:48:56.000,789972573.0,120.399682,24.818375,26.14338,120.39287875720127,24.81736438757938,22.525538356975407,-22.22969437233461,-3.6382047142254237,-21.558530355994684,6.5288294754628735,16.5
