wave,flux,err
2.489908e+03,7.243117e-03,2.311159e-03
2.490367e+03,2.000443e-01,2.616922e-03
2.490826e+03,2.108327e-01,2.619268e-03
2.491285e+03,1.575003e-01,2.573697e-03
2.491744e+03,3.207538e-01,2.684930e-03
2.492202e+03,4.915130e-01,2.873828e-03
2.492661e+03,2.365227e-01,2.633665e-03
2.493120e+03,1.071160e-01,2.458253e-03
2.493579e+03,2.294753e-01,2.604873e-03
2.494037e+03,5.760398e-01,2.907528e-03
2.494496e+03,3.918333e-01,2.787268e-03
2.494954e+03,1.761066e-01,2.515857e-03
2.495413e+03,5.098959e-01,2.832621e-03
2.495871e+03,4.803010e-01,2.804917e-03
2.496329e+03,2.380784e-01,2.554971e-03
2.496788e+03,1.204879e-01,2.468497e-03
2.497246e+03,5.889758e-01,2.869163e-03
2.497704e+03,6.234160e-01,2.907119e-03
2.498162e+03,9.655060e-02,2.428654e-03
2.498620e+03,3.602955e-01,2.673849e-03
2.499078e+03,9.310354e-02,2.395104e-03
2.499536e+03,1.774023e-01,2.449420e-03
2.499994e+03,2.040164e-01,2.472835e-03
2.500452e+03,9.612245e-02,2.271064e-03
2.500910e+03,1.004689e-01,2.276908e-03
2.501368e+03,8.173415e-01,2.925679e-03
2.501825e+03,3.174007e-01,2.482256e-03
2.502283e+03,1.075621e-01,2.265853e-03
2.502741e+03,1.571178e-01,2.345511e-03
2.503198e+03,2.446973e-01,2.412777e-03
2.503656e+03,1.027374e-01,2.268727e-03
2.504113e+03,1.765736e-01,2.342759e-03
2.504571e+03,1.021333e+00,3.078805e-03
2.505028e+03,4.811235e-01,2.605193e-03
2.505485e+03,1.466025e-01,2.287229e-03
2.505942e+03,1.497640e-01,2.299733e-03
2.506400e+03,2.383260e-01,2.356794e-03
2.506857e+03,1.462909e-01,2.250793e-03
2.507314e+03,4.671213e-01,2.599234e-03
2.507771e+03,2.274205e-01,2.374424e-03
2.508228e+03,4.288200e-01,2.620873e-03
2.508685e+03,1.513414e-01,2.367830e-03
2.509141e+03,4.823387e-01,2.712403e-03
2.509598e+03,2.009346e-01,2.409789e-03
2.510055e+03,6.332090e-01,2.857897e-03
2.510512e+03,8.946164e-01,3.005276e-03
2.510968e+03,8.562280e-01,2.977743e-03
2.511425e+03,5.622368e-01,2.731373e-03
2.511881e+03,4.239394e-01,2.627841e-03
2.512338e+03,6.726728e-01,2.823227e-03
2.512794e+03,1.752262e-01,2.336043e-03
2.513251e+03,1.620987e-01,2.397819e-03
2.513707e+03,4.181184e-01,2.637474e-03
2.514163e+03,2.240015e-01,2.388232e-03
2.514619e+03,3.545352e-01,2.523368e-03
2.515076e+03,1.695376e-01,2.378830e-03
2.515532e+03,1.637662e-01,2.409274e-03
2.515988e+03,5.814017e-01,2.767456e-03
2.516444e+03,1.247785e-01,2.288702e-03
2.516900e+03,2.579006e-01,2.453321e-03
2.517356e+03,1.252430e-01,2.337518e-03
2.517811e+03,2.311068e-01,2.440184e-03
2.518267e+03,5.222586e-01,2.696857e-03
2.518723e+03,3.050694e-01,2.473189e-03
2.519179e+03,2.027184e-01,2.401732e-03
2.519634e+03,4.188269e-01,2.599606e-03
2.520090e+03,4.065231e-01,2.590681e-03
2.520545e+03,1.466674e-01,2.326373e-03
2.521001e+03,1.062862e-01,2.305508e-03
2.521456e+03,5.743900e-01,2.722046e-03
2.521911e+03,1.205964e-01,2.285331e-03
2.522367e+03,2.316648e-01,2.397607e-03
2.522822e+03,1.499938e-01,2.302398e-03
2.523277e+03,1.138627e-01,2.285215e-03
2.523732e+03,2.349396e-01,2.430924e-03
2.524187e+03,1.997060e-01,2.372593e-03
2.524642e+03,3.617747e-01,2.552296e-03
2.525097e+03,1.038003e-01,2.234034e-03
2.525552e+03,8.071153e-02,2.264856e-03
2.526007e+03,1.566568e-01,2.402859e-03
2.526462e+03,9.602030e-02,2.254821e-03
2.526917e+03,3.471427e-01,2.501123e-03
2.527371e+03,9.164753e-01,2.960365e-03
2.527826e+03,2.343316e-01,2.399193e-03
2.528281e+03,3.226777e-01,2.491408e-03
2.528735e+03,9.741062e-02,2.286554e-03
2.529190e+03,3.527351e-01,2.540676e-03
2.529644e+03,3.394643e-01,2.519169e-03
2.530098e+03,4.683820e-01,2.645967e-03
2.530553e+03,2.798653e-01,2.417815e-03
2.531007e+03,4.403862e-01,2.595296e-03
2.531461e+03,1.241569e-01,2.303163e-03
2.531915e+03,8.404535e-02,2.252128e-03
2.532370e+03,6.684853e-01,2.798433e-03
2.532824e+03,6.035857e-01,2.652180e-03
2.533278e+03,2.946247e-01,2.401125e-03
2.533732e+03,7.279234e-02,2.131980e-03
2.534185e+03,9.410895e-02,2.140814e-03
2.534639e+03,7.310176e-02,2.162889e-03
2.535093e+03,2.945842e-01,2.390846e-03
2.535547e+03,8.147212e-02,2.173405e-03
2.536000e+03,4.560350e-01,2.528065e-03
2.536454e+03,1.836471e-01,2.273597e-03
2.536908e+03,3.382262e-01,2.417350e-03
2.537361e+03,3.019580e-01,2.506208e-03
2.537815e+03,1.079133e-01,2.298995e-03
2.538268e+03,3.624553e-01,2.535613e-03
2.538721e+03,1.376640e-01,2.315193e-03
2.539175e+03,7.369133e-02,2.258200e-03
2.539628e+03,7.831064e-02,2.269099e-03
2.540081e+03,6.239607e-02,2.306510e-03
2.540534e+03,9.506076e-02,2.273778e-03
2.540987e+03,1.691735e-01,2.373875e-03
2.541440e+03,1.931349e-01,2.388141e-03
2.541893e+03,1.097975e-01,2.336813e-03
2.542346e+03,2.358937e-01,2.445292e-03
2.542799e+03,1.483207e-01,2.341753e-03
2.543252e+03,1.462544e-01,2.350403e-03
2.543705e+03,2.407108e-01,2.419837e-03
2.544158e+03,2.265231e-01,2.406836e-03
2.544610e+03,1.842737e-01,2.380430e-03
2.545063e+03,8.492900e-01,2.988907e-03
2.545515e+03,1.137815e-01,2.332709e-03
2.545968e+03,3.140870e-01,2.547123e-03
2.546420e+03,5.623791e-01,2.762347e-03
2.546873e+03,3.080140e-01,2.515965e-03
2.547325e+03,5.420602e-01,2.697769e-03
2.547777e+03,3.864870e-01,2.588117e-03
2.548230e+03,4.702260e-01,2.639772e-03
2.548682e+03,1.271364e-01,2.358848e-03
2.549134e+03,1.456396e-01,2.384361e-03
2.549586e+03,1.198406e-01,2.367622e-03
2.550038e+03,5.592529e-01,2.776147e-03
2.550490e+03,5.675739e-01,2.734388e-03
2.550942e+03,1.607723e-01,2.362909e-03
2.551394e+03,1.642126e-01,2.464718e-03
2.551845e+03,1.953076e-01,2.462530e-03
2.552297e+03,5.152131e-01,2.784286e-03
2.552749e+03,3.371599e-01,2.616041e-03
2.553201e+03,1.145163e-01,2.473526e-03
2.553652e+03,2.139393e-01,2.466563e-03
2.554104e+03,2.246746e-01,2.548377e-03
2.554555e+03,1.072020e-01,2.348735e-03
2.555007e+03,5.511897e-01,2.763047e-03
2.555458e+03,5.947702e-01,2.779321e-03
2.555909e+03,1.074733e-01,2.336065e-03
2.556361e+03,1.177531e-01,2.341083e-03
2.556812e+03,5.938110e-01,2.781315e-03
2.557263e+03,1.121905e-01,2.402244e-03
2.557714e+03,6.624743e-01,2.847550e-03
2.558165e+03,6.487596e-01,2.797432e-03
2.558616e+03,6.422032e-01,2.841924e-03
2.559067e+03,1.350659e-01,2.378009e-03
2.559518e+03,1.246997e-01,2.363261e-03
2.559969e+03,4.411215e-01,2.668449e-03
2.560420e+03,4.359992e-01,2.664003e-03
2.560870e+03,6.771053e-01,2.863554e-03
2.561321e+03,4.026947e-01,2.658281e-03
2.561772e+03,2.164712e-01,2.465487e-03
2.562222e+03,1.410906e-01,2.352708e-03
2.562673e+03,1.405372e-01,2.351572e-03
2.563123e+03,1.875042e-01,2.369615e-03
2.563574e+03,2.574087e-01,2.464410e-03
2.564024e+03,1.767716e-01,2.400603e-03
2.564474e+03,2.808964e-01,2.440491e-03
2.564924e+03,2.223573e-01,2.338232e-03
2.565375e+03,3.506072e-01,2.484318e-03
2.565825e+03,4.769563e-01,2.602037e-03
2.566275e+03,1.641903e-01,2.421487e-03
2.566725e+03,4.124167e-01,2.640775e-03
2.567175e+03,2.378890e-01,2.455532e-03
2.567625e+03,2.058352e-01,2.447994e-03
2.568075e+03,5.950321e-01,2.816767e-03
2.568524e+03,3.460394e-01,2.604884e-03
2.568974e+03,1.725716e-01,2.413911e-03
2.569424e+03,9.618925e-01,3.125820e-03
2.569874e+03,2.573097e-01,2.519497e-03
2.570323e+03,9.698994e-01,3.152407e-03
2.570773e+03,1.802128e-01,2.449585e-03
2.571222e+03,1.888322e-01,2.464568e-03
2.571672e+03,1.953244e-01,2.429396e-03
2.572121e+03,2.104526e-01,2.480170e-03
2.572570e+03,1.659255e-01,2.428878e-03
2.573020e+03,1.842456e-01,2.473323e-03
2.573469e+03,4.497699e-01,2.769624e-03
2.573918e+03,1.833955e-01,2.464757e-03
2.574367e+03,2.211598e-01,2.482766e-03
2.574816e+03,7.649196e-01,3.011932e-03
2.575265e+03,2.474271e-01,2.512570e-03
2.575714e+03,2.295091e-01,2.489954e-03
2.576163e+03,5.522236e-01,2.796534e-03
2.576612e+03,2.768186e-01,2.579681e-03
2.577061e+03,3.023165e-01,2.592772e-03
2.577510e+03,3.515911e-01,2.601964e-03
2.577958e+03,3.294265e-01,2.592254e-03
2.578407e+03,5.619199e-01,2.788656e-03
2.578855e+03,3.481782e-01,2.639044e-03
2.579304e+03,7.296558e-01,2.967450e-03
2.579752e+03,2.323092e-01,2.543982e-03
2.580201e+03,2.672952e-01,2.582294e-03
2.580649e+03,4.489506e-01,2.697858e-03
2.581098e+03,3.024908e-01,2.650700e-03
2.581546e+03,7.106441e-01,2.963802e-03
2.581994e+03,7.916434e-01,3.036637e-03
2.582442e+03,5.524801e-01,2.891080e-03
2.582890e+03,7.127319e-01,2.951354e-03
2.583338e+03,2.544743e-01,2.543548e-03
2.583786e+03,4.895873e-01,2.801521e-03
2.584234e+03,6.803029e-01,2.944936e-03
2.584682e+03,2.906320e-01,2.622140e-03
2.585130e+03,1.185936e+00,3.355367e-03
2.585578e+03,4.683243e-01,2.755768e-03
2.586025e+03,3.918151e-01,2.722112e-03
2.586473e+03,2.609765e-01,2.625239e-03
2.586921e+03,6.567455e-01,2.960790e-03
2.587368e+03,6.800309e-01,2.948974e-03
2.587816e+03,4.055023e-01,2.694582e-03
2.588263e+03,4.740067e-01,2.754817e-03
2.588711e+03,2.377079e-01,2.558878e-03
2.589158e+03,4.565500e-01,2.792313e-03
2.589605e+03,6.317904e-01,2.891762e-03
2.590053e+03,4.218058e-01,2.739067e-03
2.590500e+03,2.906725e-01,2.606056e-03
2.590947e+03,8.027799e-01,3.044144e-03
2.591394e+03,2.909348e-01,2.640386e-03
2.591841e+03,5.373437e-01,2.804032e-03
2.592288e+03,1.262547e+00,3.384640e-03
2.592735e+03,1.001189e+00,3.186397e-03
2.593182e+03,2.755278e-01,2.574822e-03
2.593629e+03,3.524726e-01,2.683585e-03
2.594075e+03,6.943080e-01,2.961787e-03
2.594522e+03,3.053679e-01,2.554440e-03
2.594969e+03,5.464278e-01,2.899829e-03
2.595415e+03,8.105021e-01,3.131054e-03
2.595862e+03,7.347980e-01,3.078748e-03
2.596308e+03,5.051168e-01,2.802591e-03
2.596755e+03,2.016195e-01,2.509199e-03
2.597201e+03,4.248876e-01,2.738897e-03
2.597647e+03,2.081033e-01,2.497596e-03
2.598094e+03,5.969325e-01,2.885853e-03
2.598540e+03,4.893593e-01,2.785142e-03
2.598986e+03,4.628175e-01,2.775303e-03
2.599432e+03,2.586304e-01,2.587503e-03
2.599878e+03,2.613662e-01,2.577323e-03
2.600324e+03,3.480298e-01,2.658177e-03
2.600770e+03,3.461123e-01,2.710635e-03
2.601216e+03,2.842230e-01,2.692646e-03
2.601662e+03,4.945964e-01,2.853368e-03
2.602108e+03,2.622338e-01,2.608820e-03
2.602553e+03,2.957122e-01,2.644057e-03
2.602999e+03,4.062774e-01,2.724159e-03
2.603445e+03,4.420415e-01,2.774216e-03
2.603890e+03,7.113500e-01,3.007552e-03
2.604336e+03,2.110046e-01,2.558370e-03
2.604781e+03,2.173030e-01,2.592694e-03
2.605227e+03,7.060026e-01,3.016894e-03
2.605672e+03,6.862209e-01,2.972783e-03
2.606117e+03,1.119809e+00,3.369781e-03
2.606563e+03,2.814342e-01,2.664075e-03
2.607008e+03,6.051975e-01,2.949197e-03
2.607453e+03,2.974761e-01,2.670291e-03
2.607898e+03,3.135708e-01,2.742015e-03
2.608343e+03,7.187563e-01,3.057055e-03
2.608788e+03,1.540647e-01,2.578094e-03
2.609233e+03,8.678245e-01,3.177606e-03
2.609678e+03,1.371170e-01,2.503090e-03
2.610123e+03,5.464255e-01,2.910771e-03
2.610568e+03,1.829822e-01,2.585586e-03
2.611012e+03,1.441592e-01,2.524448e-03
2.611457e+03,2.154243e-01,2.634731e-03
2.611902e+03,1.764120e-01,2.602850e-03
2.612346e+03,3.047480e-01,2.690258e-03
2.612791e+03,1.695771e-01,2.650705e-03
2.613235e+03,1.920513e-01,2.585450e-03
2.613680e+03,2.985457e-01,2.724751e-03
2.614124e+03,4.560204e-01,2.830581e-03
2.614568e+03,2.147420e-01,2.587104e-03
2.615012e+03,5.106818e-01,2.897330e-03
2.615457e+03,9.750219e-01,3.262763e-03
2.615901e+03,6.039751e-01,2.972936e-03
2.616345e+03,5.320802e-01,2.885205e-03
2.616789e+03,3.973052e-01,2.789148e-03
2.617233e+03,2.100534e-01,2.624534e-03
2.617677e+03,1.813395e-01,2.545036e-03
2.618121e+03,4.305642e-01,2.813300e-03
2.618564e+03,5.530767e-01,2.913909e-03
2.619008e+03,4.848628e-01,2.896478e-03
2.619452e+03,5.976908e-01,2.982674e-03
2.619895e+03,2.443839e-01,2.602490e-03
2.620339e+03,1.954500e-01,2.665802e-03
2.620783e+03,6.598486e-01,3.088671e-03
2.621226e+03,1.873112e-01,2.597042e-03
2.621669e+03,1.661261e-01,2.577585e-03
2.622113e+03,1.621257e-01,2.545687e-03
2.622556e+03,1.791353e-01,2.618397e-03
2.622999e+03,1.865178e-01,2.558638e-03
2.623443e+03,6.482033e-01,3.124261e-03
2.623886e+03,2.276293e-01,2.734895e-03
2.624329e+03,5.213713e-01,3.022676e-03
2.624772e+03,1.939780e-01,2.711401e-03
2.625215e+03,6.800356e-01,3.187898e-03
2.625658e+03,2.036149e-01,2.726573e-03
2.626101e+03,1.936713e-01,2.707598e-03
2.626544e+03,7.166931e-01,3.163045e-03
2.626986e+03,2.140889e-01,2.704988e-03
2.627429e+03,3.659963e-01,2.881231e-03
2.627872e+03,1.961423e-01,2.619849e-03
2.628314e+03,6.380148e-01,3.057171e-03
2.628757e+03,6.883283e-01,3.057166e-03
2.629200e+03,4.437357e-01,2.891369e-03
2.629642e+03,2.052593e-01,2.681556e-03
2.630084e+03,2.885614e-01,2.738968e-03
2.630527e+03,3.132197e-01,2.762856e-03
2.630969e+03,6.855412e-01,3.091512e-03
2.631411e+03,8.344366e-01,3.209875e-03
2.631854e+03,2.069731e-01,2.663585e-03
2.632296e+03,2.290508e-01,2.731309e-03
2.632738e+03,2.126926e-01,2.683319e-03
2.633180e+03,3.451826e-01,2.802772e-03
2.633622e+03,2.506448e-01,2.724975e-03
2.634064e+03,2.110594e-01,2.711993e-03
2.634506e+03,2.317889e-01,2.675530e-03
2.634947e+03,2.194761e-01,2.736719e-03
2.635389e+03,2.743306e-01,2.754783e-03
2.635831e+03,4.033434e-01,2.928354e-03
2.636273e+03,4.868227e-01,3.021666e-03
2.636714e+03,8.154445e-01,3.223981e-03
2.637156e+03,2.050156e-01,2.701888e-03
2.637597e+03,3.141735e-01,2.810582e-03
2.638039e+03,2.624367e-01,2.737906e-03
2.638480e+03,1.731721e-01,2.675421e-03
2.638921e+03,1.887501e-01,2.690803e-03
2.639363e+03,1.967285e-01,2.718760e-03
2.639804e+03,1.803090e-01,2.677946e-03
2.640245e+03,1.659912e-01,2.707893e-03
2.640686e+03,7.310557e-01,3.211219e-03
2.641127e+03,5.625491e-01,3.072075e-03
2.641568e+03,2.753216e-01,2.833243e-03
2.642009e+03,9.205484e-01,3.385231e-03
2.642450e+03,3.219121e-01,2.809614e-03
2.642891e+03,6.001400e-01,3.086034e-03
2.643332e+03,3.627971e-01,2.883815e-03
2.643773e+03,5.149995e-01,3.052759e-03
2.644213e+03,2.478473e-01,2.771766e-03
2.644654e+03,8.502238e-01,3.338412e-03
2.645094e+03,1.181270e+00,3.588935e-03
2.645535e+03,3.016676e-01,2.898696e-03
2.645975e+03,3.293298e-01,2.863911e-03
2.646416e+03,1.074017e+00,3.485976e-03
2.646856e+03,3.878579e-01,2.944057e-03
2.647297e+03,4.283641e-01,2.948493e-03
2.647737e+03,8.094388e-01,3.241471e-03
2.648177e+03,9.223157e-01,3.358437e-03
2.648617e+03,1.325695e+00,3.684429e-03
2.649057e+03,8.623010e-01,3.286261e-03
2.649497e+03,4.874740e-01,3.004625e-03
2.649937e+03,4.887453e-01,2.998800e-03
2.650377e+03,1.206808e+00,3.578931e-03
2.650817e+03,5.191215e-01,2.999781e-03
2.651257e+03,9.973522e-01,3.438682e-03
2.651697e+03,5.522099e-01,3.142081e-03
2.652137e+03,7.674951e-01,3.372050e-03
2.652576e+03,8.519865e-01,3.418607e-03
2.653016e+03,5.622827e-01,3.190793e-03
2.653455e+03,6.388558e-01,3.250700e-03
2.653895e+03,6.115062e-01,3.173396e-03
2.654334e+03,5.631498e-01,3.170433e-03
2.654774e+03,2.164684e+00,4.334071e-03
2.655213e+03,5.270357e-01,3.090529e-03
2.655652e+03,9.883274e-01,3.496860e-03
2.656092e+03,6.001895e-01,3.172875e-03
2.656531e+03,5.047747e-01,3.142248e-03
2.656970e+03,1.298999e+00,3.765210e-03
2.657409e+03,6.257709e-01,3.229257e-03
2.657848e+03,1.346909e+00,3.796458e-03
2.658287e+03,4.212457e-01,3.025775e-03
2.658726e+03,4.270761e-01,2.950288e-03
2.659165e+03,6.891058e-01,3.275047e-03
2.659604e+03,3.868614e-01,2.915424e-03
2.660042e+03,3.971566e-01,2.938688e-03
2.660481e+03,5.041631e-01,3.020324e-03
2.660920e+03,1.104590e+00,3.510038e-03
2.661358e+03,9.655635e-01,3.407929e-03
2.661797e+03,4.518449e-01,2.986920e-03
2.662235e+03,9.111980e-01,3.393584e-03
2.662674e+03,1.065305e+00,3.508601e-03
2.663112e+03,5.053976e-01,3.065597e-03
2.663551e+03,4.787632e-01,3.069179e-03
2.663989e+03,4.746471e-01,3.081508e-03
2.664427e+03,8.837602e-01,3.428330e-03
2.664865e+03,9.015713e-01,3.426929e-03
2.665303e+03,6.331825e-01,3.195186e-03
2.665742e+03,5.782630e-01,3.153481e-03
2.666180e+03,6.439032e-01,3.223497e-03
2.666617e+03,6.780921e-01,3.289608e-03
2.667055e+03,8.124355e-01,3.332245e-03
2.667493e+03,8.495504e-01,3.388603e-03
2.667931e+03,7.345170e-01,3.264820e-03
2.668369e+03,5.285128e-01,3.125601e-03
2.668806e+03,6.554958e-01,3.253100e-03
2.669244e+03,1.002029e+00,3.566638e-03
2.669682e+03,5.679412e-01,3.175855e-03
2.670119e+03,5.162905e-01,3.139083e-03
2.670557e+03,7.865402e-01,3.332019e-03
2.670994e+03,6.279194e-01,3.234186e-03
2.671431e+03,5.013420e-01,3.103019e-03
2.671869e+03,8.697031e-01,3.440159e-03
2.672306e+03,4.848285e-01,3.092645e-03
2.672743e+03,7.679089e-01,3.421152e-03
2.673180e+03,5.014809e-01,3.175839e-03
2.673617e+03,4.731113e-01,3.066249e-03
2.674055e+03,1.088256e+00,3.646379e-03
2.674492e+03,9.245807e-01,3.491984e-03
